Tytuł,Cena,Lokalizacja,Data,Link
(Brak tytułu),850 złdo negocjacji,"Katowice, Ligota-Panewniki - 22 lipca 2025",2025-07-27 16:41:48,https://www.olx.pl/d/oferta/iphone-13-128gb-wymaga-odblokowania-uslugi-apple-CID99-ID145wCG.html
(Brak tytułu),1 100 zł,"Bieruń, Bieruń Nowy - 22 lipca 2025",2025-07-27 16:41:48,https://www.olx.pl/d/oferta/iphone-14-128-gb-purple-CID99-ID15UsqA.html
(Brak tytułu),800 zł,Tarnowskie Góry - 21 lipca 2025,2025-07-27 16:41:48,https://www.olx.pl/d/oferta/okazja-na-sprzedaz-iphone-13-128-gb-w-swietnym-stanie-CID99-ID15Vse2.html
(Brak tytułu),1 199 zł,"Będzin, Brzozowica - 21 lipca 2025",2025-07-27 16:41:48,https://www.olx.pl/d/oferta/iphone-13-128-od-nowowci-w-etiu-i-ze-szklem-CID99-ID16I6Ti.html
(Brak tytułu),1 099 zł,Przystajń - 20 lipca 2025,2025-07-27 16:41:48,https://www.olx.pl/d/oferta/iphone-13-128gb-bateria-83-CID99-ID16HoHC.html
(Brak tytułu),1 200 zł,Jastrzębie-Zdrój - 20 lipca 2025,2025-07-27 16:41:48,https://www.olx.pl/d/oferta/iphone-13-w-stanie-idealnym-CID99-ID16GPqk.html
(Brak tytułu),1 100 zł,Jaworzno - 19 lipca 2025,2025-07-27 16:41:48,https://www.olx.pl/d/oferta/apple-iphone-13-mini-128-gb-CID99-ID16GFbd.html
(Brak tytułu),1 000 złdo negocjacji,"Mikołów, Borowa Wieś - 18 lipca 2025",2025-07-27 16:41:48,https://www.olx.pl/d/oferta/iphone-14-pro-uszkodzony-na-czesci-CID99-ID16FBIg.html
(Brak tytułu),1 100 zł,Brzeg - 17 lipca 2025,2025-07-27 16:41:48,https://www.olx.pl/d/oferta/iphone-13-128gb-83-CID99-ID16xyV5.html
(Brak tytułu),700 zł,"Kraków, Bieńczyce - Odświeżono Dzisiaj o 13:51",2025-07-27 16:46:30,https://www.olx.pl/d/oferta/iphone-12-stan-bdb-kondycja-baterii-94-CID99-ID16LdVa.html
(Brak tytułu),999 zł,"Warszawa, Praga-Południe - Odświeżono dnia 24 lipca 2025",2025-07-27 16:46:30,https://www.olx.pl/d/oferta/iphone-12-64gb-midnight-bateria-100-CID99-ID16ddKe.html
(Brak tytułu),899 zł,"Poznań, Jeżyce - Odświeżono dnia 26 lipca 2025",2025-07-27 16:46:30,https://www.olx.pl/d/oferta/jak-nowy-iphone-12-64gb-2-lata-gwarancji-rozne-kolory-CID99-IDX1bPA.html
(Brak tytułu),700 zł,"Warszawa, Białołęka - Dzisiaj o 14:43",2025-07-27 16:46:30,https://www.olx.pl/d/oferta/iphone-12-64-gb-kabel-do-ladowania-CID99-ID16MCHz.html
(Brak tytułu),850 złdo negocjacji,Suszec - Dzisiaj o 14:42,2025-07-27 16:46:30,https://www.olx.pl/d/oferta/iphone-11-128gb-100-baterii-CID99-ID15BiXs.html
(Brak tytułu),599 zł,Czechy - Dzisiaj o 14:42,2025-07-27 16:46:30,https://www.olx.pl/d/oferta/iphone-11-white-100-bardzo-dobry-pelen-zestaw-CID99-ID16MCER.html
(Brak tytułu),450 zł,Jasień - Dzisiaj o 14:41,2025-07-27 16:46:30,https://www.olx.pl/d/oferta/iphone-12-64gb-bez-blokad-stan-jak-na-zdjeciach-oryginal-pudelko-ladow-CID99-ID16MCCB.html
